,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
153.0,MRT,Mauritania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MRT,MR,Mauritania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Nouakchott,-15.9824,18.2367,MRT
154.0,MSR,Montserrat,North America,,,Latin America and Caribbean,MSR,,,,,,,,,,
155.0,MTQ,Martinique,North America,,,Latin America and Caribbean,MTQ,,,,,,,,,,
156.0,MUS,Mauritius,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MUS,MU,Mauritius,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Port Louis,57.4977,-20.1605,MUS
157.0,MWI,Malawi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MWI,MW,Malawi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lilongwe,33.7703,-13.9899,MWI
158.0,MYS,Malaysia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,MYS,MY,Malaysia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Kuala Lumpur,101.684,3.12433,MYS
159.0,MYT,Mayotte,Africa,,,Sub-Saharan Africa,MYT,,,,,,,,,,
160.0,NAM,Namibia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NAM,NA,Namibia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Windhoek,17.0931,-22.5648,NAM
161.0,NCL,New Caledonia,Oceania,,East Asia and Pacific,Oceania,NCL,NC,New Caledonia,East Asia & Pacific,,High income,Not classified,Noum'ea,166.464,-22.2677,NCL
162.0,NER,Niger,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NER,NE,Niger,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Niamey,2.1073,13.514,NER
163.0,NFK,Norfolk Island,Oceania,,,Oceania,NFK,,,,,,,,,,
164.0,NGA,Nigeria,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NGA,NG,Nigeria,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Abuja,7.48906,9.05804,NGA
165.0,NIC,Nicaragua,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,NIC,NI,Nicaragua,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Managua,-86.2734,12.1475,NIC
166.0,NIU,Niue,Oceania,Western Pacific,,Oceania,NIU,,,,,,,,,,
167.0,NLD,Netherlands,Europe,Europe,Europe and Central Asia,Europe and Northern America,NLD,NL,Netherlands,Europe & Central Asia,,High income,Not classified,Amsterdam,4.89095,52.3738,NLD
168.0,NOR,Norway,Europe,Europe,Europe and Central Asia,Europe and Northern America,NOR,NO,Norway,Europe & Central Asia,,High income,Not classified,Oslo,10.7387,59.9138,NOR
169.0,NPL,Nepal,Asia,South-East Asia,South Asia,Central and Southern Asia,NPL,NP,Nepal,South Asia,South Asia,Lower middle income,IDA,Kathmandu,85.3157,27.6939,NPL
170.0,NRU,Nauru,Oceania,Western Pacific,East Asia and Pacific,Oceania,NRU,NR,Nauru,East Asia & Pacific,,High income,IBRD,Yaren District,166.920867,-0.5477,NRU
171.0,NZL,New Zealand,Oceania,Western Pacific,East Asia and Pacific,Oceania,NZL,NZ,New Zealand,East Asia & Pacific,,High income,Not classified,Wellington,174.776,-41.2865,NZL
172.0,OMN,Oman,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,OMN,OM,Oman,Middle East & North Africa,,High income,Not classified,Muscat,58.5874,23.6105,OMN
173.0,OWID_ABK,Abkhazia,Asia,,,,OWID_ABK,,,,,,,,,,
174.0,OWID_AFR,Africa,,,,,OWID_AFR,,,,,,,,,,
175.0,OWID_AKD,Akrotiri and Dhekelia,Asia,,,,OWID_AKD,,,,,,,,,,
176.0,OWID_AUH,Austria-Hungary,Europe,,,,OWID_AUH,,,,,,,,,,
177.0,OWID_BAD,Baden,Europe,,,,OWID_BAD,,,,,,,,,,
178.0,OWID_BAV,Bavaria,Europe,,,,OWID_BAV,,,,,,,,,,
179.0,OWID_CIS,Channel Islands,Europe,,Europe and Central Asia,Europe and Northern America,OWID_CIS,,,,,,,,,,
180.0,OWID_CYN,Northern Cyprus,Asia,,,,OWID_CYN,,,,,,,,,,
181.0,OWID_CZS,Czechoslovakia,Europe,,,,OWID_CZS,,,,,,,,,,
182.0,OWID_ERE,Eritrea and Ethiopia,Africa,,,,OWID_ERE,,,,,,,,,,
183.0,OWID_EU27,European Union (27),,,,,OWID_EU27,,,,,,,,,,
184.0,OWID_EUR,Europe,,,,,OWID_EUR,,,,,,,,,,
185.0,OWID_GDR,East Germany,Europe,,,,OWID_GDR,,,,,,,,,,
186.0,OWID_GFR,West Germany,Europe,,,,OWID_GFR,,,,,,,,,,
187.0,OWID_HAN,Hanover,Europe,,,,OWID_HAN,,,,,,,,,,
188.0,OWID_HSE,Hesse Electoral,Europe,,,,OWID_HSE,,,,,,,,,,
189.0,OWID_HSG,Hesse Grand Ducal,Europe,,,,OWID_HSG,,,,,,,,,,
