,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations
275,,Czechoslovakia,,,,
276,,EU-27,,,,
277,,East Germany,,,,
278,,Eastern Africa,,,,
279,,Europe,,,,
280,,Europe (excl. EU-27),,,,
281,,Europe (excl. EU-28),,,,
282,,European Union (27),,,,
283,,European Union (28),,,,
284,,French Equatorial Africa,,,,
285,,French West Africa,,,,
286,,Greenland,,,,
287,,Hawaiian Trade Zone,,,,
288,,High-income countries,,,,
289,,International,,,,
290,,International transport,,,,
291,,Kosovo,,,,
292,,Kuwaiti Oil Fires,,,,
293,,Leeward Islands,,,,
294,,Low-income countries,,,,
295,,Lower-middle-income countries,,,,
296,,Macao,,,,
297,,Micronesia (country),,,,
298,,Middle Africa,,,,
299,,Middle East,,,,
300,,Netherlands Antilles,,,,
301,,Non-OECD,,,,
302,,North America,,,,
303,,North America (excl. USA),,,,
304,,OECD,,,,
305,,Oceania,,,,
306,,Panama Canal Zone,,,,
307,,Reunion,,,,
308,,Ryukyu Islands,,,,
309,,Serbia and Montenegro,,,,
310,,South America,,,,
311,,St. Kitts-Nevis-Anguilla,,,,
312,,U.S. Pacific Islands,,,,
313,,U.S. Territories,,,,
314,,USSR,,,,
315,,Upper-middle-income countries,,,,
316,,Wake Island,,,,
317,,Wallis and Futuna,,,,
318,,West Germany,,,,
319,,Western Africa,,,,
320,,Yugoslavia,,,,
321,OWID_ABK,Abkhazia,Asia,,,
322,OWID_AKD,Akrotiri and Dhekelia,Asia,,,
323,ATA,Antarctica,Antarctica,,,
324,OWID_AUH,Austria-Hungary,Europe,,,
325,OWID_BAD,Baden,Europe,,,
326,OWID_BAV,Bavaria,Europe,,,
327,OWID_CIS,Channel Islands,Europe,,Europe and Central Asia,Europe and Northern America
328,CCK,Cocos Islands,Asia,,,
329,OWID_CZS,Czechoslovakia,Europe,,,
330,OWID_GDR,East Germany,Europe,,,
331,OWID_ERE,Eritrea and Ethiopia,Africa,,,
332,OWID_HAN,Hanover,Europe,,,
333,OWID_HSE,Hesse Electoral,Europe,,,
